"stop_id","stop_code","stop_name","stop_desc","stop_lat","stop_lon","zone_id","stop_url","location_type","parent_station","stop_timezone","wheelchair_boarding"
"1003021-00","","佐賀女子短大・高校前","","33.24626","130.28627","1003021-00","","0","1003021","",""
"1003020-10","","旭学園通り南(1)","","33.24424","130.28656","1003020-10","","0","1003020","",""
"1003019-10","","佐賀大学西(1)","","33.24448","130.28828","1003019-10","","0","1003019","",""
"1003018-01","","佐賀大学前(1)","","33.2456","130.29308","1003018-01","","0","1003018","",""
"1003017-10","","与賀町(1)","","33.24912","130.2925","1003017-10","","0","1003017","",""
"1003013-10","","辻の堂(1)","","33.250118","130.293428","1003013-10","","0","1003013","",""
"1003012-00","","佐賀県警本部前","","33.250695","130.298559","1003012-00","","0","1003012","",""
"1003011-00","","佐賀県警本部前","","33.250532","130.298565","1003011-00","","0","1003011","",""
"1003013-20","","辻の堂(2)","","33.250109","130.294796","1003013-20","","0","1003013","",""
"1003017-20","","与賀町(2)","","33.2481","130.29295","1003017-20","","0","1003017","",""
"1003018-03","","佐賀大学前(3)","","33.24476","130.29268","1003018-03","","0","1003018","",""
"1003019-20","","佐賀大学西(2)","","33.24455","130.28891","1003019-20","","0","1003019","",""
"1003020-20","","旭学園通り南(2)","","33.24419","130.28682","1003020-20","","0","1003020","",""
"1006033-10","","サガテレビ前(1)","","33.24704","130.3008","1006033-10","","0","1006033","",""
"1006032-10","","こころざしのもり(1)","","33.24837","130.30051","1006032-10","","0","1006032","",""
"1001002-02","","佐賀駅バスセンター 2番のりば","","33.26445","130.29951","1001002-02","","0","1001002","",""
"1032251-20","","藤木(2)","","33.27032","130.30075","1032251-20","","0","1032251","",""
"1032252-20","","致遠館前(2)","","33.27206","130.30034","1032252-20","","0","1032252","",""
"1032253-20","","佐賀北警察署前(2)","","33.27436","130.29971","1032253-20","","0","1032253","",""
"1032254-20","","市文化会館東(2)","","33.27786","130.29878","1032254-20","","0","1032254","",""
"1032255-00","","東高木","","33.28245","130.2984","1032255-00","","0","1032255","",""
"1032256-20","","寄人(2)","","33.28611","130.29788","1032256-20","","0","1032256","",""
"1032257-20","","城北団地(2)","","33.28786","130.29782","1032257-20","","0","1032257","",""
"1032258-00","","二俣","","33.29016","130.29794","1032258-00","","0","1032258","",""
"1032261-20","","グラスコート佐賀(2)","","33.30038","130.29715","1032261-20","","0","1032261","",""
"1032262-20","","千布南(2)","","33.30606","130.29948","1032262-20","","0","1032262","",""
"1032263-20","","東千布(2)","","33.30748","130.30051","1032263-20","","0","1032263","",""
"1032264-00","","金立公民館前","","33.30748","130.30341","1032264-00","","0","1032264","",""
"1032263-10","","東千布(1)","","33.30773","130.3009","1032263-10","","0","1032263","",""
"1032262-10","","千布南(1)","","33.30611","130.29964","1032262-10","","0","1032262","",""
"1032261-10","","グラスコート佐賀(1)","","33.29991","130.29741","1032261-10","","0","1032261","",""
"1032257-10","","城北団地(1)","","33.28812","130.29796","1032257-10","","0","1032257","",""
"1032256-10","","寄人(1)","","33.28542","130.29799","1032256-10","","0","1032256","",""
"1032254-10","","市文化会館東(1)","","33.27874","130.29865","1032254-10","","0","1032254","",""
"1032253-10","","佐賀北警察署前(1)","","33.273463","130.300101","1032253-10","","0","1032253","",""
"1032252-10","","致遠館前(1)","","33.27199","130.30043","1032252-10","","0","1032252","",""
"1032251-10","","藤木(1)","","33.2699","130.30101","1032251-10","","0","1032251","",""
"1032259-20","","金立ケアセンター前(2)","","33.29759","130.29738","1032259-20","","0","1032259","",""
"1032260-10","","健康運動センター(1)","","33.29786","130.29366","1032260-10","","0","1032260","",""
"1032259-10","","金立ケアセンター前(1)","","33.29771","130.29739","1032259-10","","0","1032259","",""
"1003014-00","","与賀町西","","33.249783","130.291639","1003014-00","","0","1003014","",""
"1003015-20","","西田代(2)","","33.249142","130.287336","1003015-20","","0","1003015","",""
"1003016-20","","道祖元町(2)","","33.2475","130.28505","1003016-20","","0","1003016","",""
"1003016-10","","道祖元町(1)","","33.24747","130.28499","1003016-10","","0","1003016","",""
"1003015-10","","西田代(1)","","33.24941","130.288058","1003015-10","","0","1003015","",""
"1011035-20","","市役所南(2)","","33.262594","130.30124","1011035-20","","0","1011035","",""
"1011036-20","","戸上電機前(2)","","33.261911","130.303661","1011036-20","","0","1011036","",""
"1011037-20","","大財町(2)","","33.257961","130.304731","1011037-20","","0","1011037","",""
"1028189-20","","サンテ溝上病院前(2)","","33.25698","130.30414","1028189-20","","0","1028189","",""
"1028190-20","","エスプラッツ前(2)","","33.254604","130.302427","1028190-20","","0","1028190","",""
"1011039-02","","片田江(2)[片田江東]","","33.251578","130.306742","1011039-02","","0","1011039","",""
"1028191-20","","材木橋(2)","","33.25187","130.308666","1028191-20","","0","1028191","",""
"1028192-20","","東佐賀(2)","","33.25195","130.31303","1028192-20","","0","1028192","",""
"1028193-10","","東田代(1)","","33.24865","130.31372","1028193-10","","0","1028193","",""
"1028194-20","","今宿町(2)","","33.24784","130.31554","1028194-20","","0","1028194","",""
